year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1930;7;15.0;;;Walcot Air Line;London - Le touquet, France;Junkers F-13ge;6.0;4.0;2.0;6.0;4.0;2.0;0.0
1930;8;;;;Ceskoslovenske Aerolinie;Prague - Bratislava;Ford 5-AT-C Tri Motor;11.0;10.0;1.0;10.0;9.0;1.0;0.0
1930;9;;;;Sabena;Croydon - Brussels;Sabca F-VII;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1930;9;;;Canada;Western Canada Airways;Calgary - Moosejaw;Boeing 40;3.0;2.0;1.0;3.0;2.0;1.0;0.0
1930;10;2.0;;France;Military - British Air Ministry;Cardington, England - Karachi, Pakistan;Royal Airship Works R-101;54.0;;;48.0;;;0.0
1930;10;9.0;;Germany;Deutsche Lufthansa;Berlin - Vienna;Messerschmitt M-20B;8.0;6.0;2.0;8.0;6.0;2.0;0.0
1930;10;;;Morocco;Aeropostale;Casablanca - Bahat - Toulouse;Latecoere 28;4.0;3.0;1.0;4.0;3.0;1.0;0.0
1930;10;;;Australia;Wings Ltd;;de Havilland DH.80 Puss Moth;3.0;2.0;1.0;3.0;2.0;1.0;
1930;10;;;Canada;Alaska-Washington Airways;;Lockheed Vega;3.0;2.0;1.0;3.0;2.0;1.0;0.0
1930;10;;;France;Imperial Airways;Paris, France - London, England;Handley Page W-8;6.0;3.0;3.0;3.0;2.0;1.0;0.0
1930;10;;Indiana;United States;Embry Riddle Company;;Pitcairn PA-6 Mailwing;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1930;11;;;Brazil;Syndicato Condor;Porto Alegre - Laguna - Rio de Janeiro;Junkers G-24;9.0;8.0;1.0;1.0;1.0;0.0;0.0
1930;11;;California;United States;Pacific Air Transport;Burbank, CA - Oakland, CA;Boeing 40;3.0;0.0;3.0;3.0;0.0;3.0;
1930;12;;;China;China National Aviation Corporation;Shanghai - Hankow;Loening C-W Air Yaht;6.0;4.0;2.0;4.0;2.0;2.0;0.0
1931;1;22.0;;Belgium;Sabena;Brussels - London;Fokker F-VII;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1931;1;;Washington;United States;Varney Air Lines;Portland - Pasco;Boeing 40;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1931;2;;;New Zealand;Dominion Air Lines;Gisborne - Hastings;Desoutter II;3.0;2.0;1.0;3.0;2.0;1.0;0.0
1931;2;;;Canada;Western Canada Airways;Winnigeg - Moosejaw;Fokker Universal F-14;3.0;2.0;1.0;2.0;2.0;0.0;0.0
1931;2;;;;Aeropostale;Algiers – Marseille;Latecoere 32;3.0;0.0;3.0;1.0;0.0;1.0;0.0
1931;3;13.0;;Australia;Australian National Airways;Sydney - Melbourne;Avro 10;8.0;6.0;2.0;8.0;6.0;2.0;0.0
1931;3;10.0;Kansas;United States;Trans Continental and Western Air;Kansas City - Wichita -  Los Angeles;Fokker F10A Trimotor;8.0;6.0;2.0;8.0;6.0;2.0;0.0
1931;4;;;Germany;Deutsche Lufthansa;;Messerschmitt M-20;10.0;7.0;3.0;2.0;0.0;2.0;0.0
